2026-04-02 09:57:42 - BankingSystem - INFO - [info] - === Interactive Banking CLI Started ===
2026-04-02 09:57:46 - BankingSystem - DEBUG - [debug] - List accounts requested but no accounts exist
2026-04-02 09:57:48 - BankingSystem - DEBUG - [debug] - List accounts requested but no accounts exist
2026-04-02 09:57:50 - BankingSystem - DEBUG - [debug] - List accounts requested but no accounts exist
2026-04-02 09:57:52 - BankingSystem - DEBUG - [debug] - List accounts requested but no accounts exist
2026-04-02 09:57:54 - BankingSystem - DEBUG - [debug] - List accounts requested but no accounts exist
2026-04-02 09:57:56 - BankingSystem - DEBUG - [debug] - List accounts requested but no accounts exist
2026-04-02 09:57:57 - BankingSystem - DEBUG - [debug] - List accounts requested but no accounts exist
2026-04-02 09:57:58 - BankingSystem - DEBUG - [debug] - List accounts requested but no accounts exist
2026-04-02 09:57:59 - BankingSystem - DEBUG - [debug] - List accounts requested but no accounts exist
2026-04-02 09:58:00 - BankingSystem - DEBUG - [debug] - List accounts requested but no accounts exist
2026-04-02 09:58:01 - BankingSystem - DEBUG - [debug] - List accounts requested but no accounts exist
2026-04-02 09:58:02 - BankingSystem - DEBUG - [debug] - List accounts requested but no accounts exist
2026-04-02 09:58:03 - BankingSystem - DEBUG - [debug] - List accounts requested but no accounts exist
2026-04-02 09:58:03 - BankingSystem - DEBUG - [debug] - List accounts requested but no accounts exist
2026-04-02 09:58:04 - BankingSystem - DEBUG - [debug] - List accounts requested but no accounts exist
2026-04-02 09:58:04 - BankingSystem - DEBUG - [debug] - List accounts requested but no accounts exist
2026-04-02 09:58:05 - BankingSystem - DEBUG - [debug] - List accounts requested but no accounts exist
2026-04-02 09:58:05 - BankingSystem - DEBUG - [debug] - List accounts requested but no accounts exist
2026-04-02 09:59:48 - BankingSystem - INFO - [info] - === Interactive Banking CLI Closed ===
